,model_id,category,learning_rate,num_train_epochs,per_device_train_batch_size,num_parameters,eval_accuracy,eval_f1,eval_precision,eval_recall,test_accuracy,test_f1,test_precision,test_recall
0,google/vit-base-patch16-224,vit,2e-05,5,8,86567656,0.8213276836158192,0.7204419889502762,0.7931873479318735,0.659919028340081,0.7937853107344632,0.6726457399103138,0.75,0.6097560975609756
1,google/vit-base-patch16-224,vit,2e-05,5,16,86567656,0.7860169491525424,0.6644518272425249,0.7334963325183375,0.6072874493927125,0.7718926553672316,0.6382978723404255,0.7107231920199502,0.5792682926829268
2,google/vit-base-patch16-224,vit,2e-05,10,8,86567656,0.8255649717514124,0.7352625937834941,0.7813211845102506,0.694331983805668,0.8206214689265536,0.7227074235807861,0.7806603773584906,0.6727642276422764
3,google/vit-base-patch16-224,vit,2e-05,10,16,86567656,0.836864406779661,0.7518796992481203,0.8009153318077803,0.708502024291498,0.8298022598870056,0.7366120218579235,0.7966903073286052,0.6849593495934959
4,google/vit-base-patch16-224,vit,0.0002,5,8,86567656,0.818502824858757,0.733678756476684,0.7515923566878981,0.7165991902834008,0.8029661016949152,0.7053854276663146,0.734065934065934,0.6788617886178862
5,google/vit-base-patch16-224,vit,0.0002,5,16,86567656,0.8347457627118644,0.7526427061310783,0.7876106194690266,0.7206477732793523,0.8298022598870056,0.742245989304813,0.7832957110609481,0.7052845528455285
6,google/vit-base-patch16-224,vit,0.0002,10,8,86567656,0.7690677966101694,0.6426229508196721,0.6983372921615202,0.5951417004048583,0.7754237288135594,0.6520787746170678,0.7061611374407583,0.6056910569105691
7,google/vit-base-patch16-224,vit,0.0002,10,16,86567656,0.7874293785310734,0.6738894907908992,0.7249417249417249,0.6295546558704453,0.7704802259887006,0.6400885935769657,0.7031630170316302,0.5873983739837398
8,openai/clip-vit-base-patch32,clip,2e-05,5,8,87457538,0.7598870056497176,0.6179775280898876,0.6944444444444444,0.5566801619433198,0.7450564971751412,0.5975473801560758,0.6617283950617284,0.5447154471544715
9,openai/clip-vit-base-patch32,clip,2e-05,5,16,87457538,0.7627118644067796,0.6371490280777539,0.6828703703703703,0.597165991902834,0.75,0.6217948717948717,0.6554054054054054,0.5914634146341463
10,openai/clip-vit-base-patch32,clip,2e-05,10,8,87457538,0.7139830508474576,0.5392491467576792,0.6155844155844156,0.4797570850202429,0.7005649717514124,0.5288888888888889,0.5833333333333334,0.483739837398374
11,openai/clip-vit-base-patch32,clip,2e-05,10,16,87457538,0.7443502824858758,0.5904977375565611,0.6692307692307692,0.52834008097166,0.7351694915254238,0.578177727784027,0.6473551637279596,0.5223577235772358
12,openai/clip-vit-base-patch32,clip,0.0002,5,8,87457538,0.684322033898305,0.5114754098360654,0.5558194774346793,0.47368421052631576,0.6836158192090396,0.5119825708061002,0.5516431924882629,0.47764227642276424
13,openai/clip-vit-base-patch32,clip,0.0002,5,16,87457538,0.6850282485875706,0.5055432372505544,0.5588235294117647,0.46153846153846156,0.684322033898305,0.5038845726970033,0.5550122249388753,0.4613821138211382
14,openai/clip-vit-base-patch32,clip,0.0002,10,8,87457538,0.702683615819209,0.5458468176914779,0.5842956120092379,0.5121457489878543,0.6857344632768362,0.5199568500539374,0.5540229885057472,0.4898373983739837
15,openai/clip-vit-base-patch32,clip,0.0002,10,16,87457538,0.6765536723163842,0.46244131455399057,0.5502793296089385,0.39878542510121456,0.6793785310734464,0.46462264150943394,0.5533707865168539,0.40040650406504064
16,google/siglip-base-patch16-224,siglip,2e-05,5,8,92885762,0.8135593220338984,0.7111597374179431,0.7738095238095238,0.6578947368421053,0.7966101694915254,0.6849015317286652,0.7417061611374408,0.6361788617886179
17,google/siglip-base-patch16-224,siglip,2e-05,5,16,92885762,0.8255649717514124,0.7294633077765608,0.7947494033412887,0.6740890688259109,0.8043785310734464,0.6939226519337017,0.7602905569007264,0.6382113821138211
18,google/siglip-base-patch16-224,siglip,2e-05,10,8,92885762,0.8142655367231638,0.7144408251900108,0.7704918032786885,0.6659919028340081,0.7944915254237288,0.6840390879478827,0.7342657342657343,0.6402439024390244
19,google/siglip-base-patch16-224,siglip,2e-05,10,16,92885762,0.8163841807909604,0.7065462753950338,0.798469387755102,0.6336032388663968,0.7853107344632768,0.6529680365296803,0.7447916666666666,0.5813008130081301
20,google/siglip-base-patch16-224,siglip,0.0002,5,8,92885762,0.682909604519774,0.5071350164654227,0.5539568345323741,0.4676113360323887,0.6793785310734464,0.4999999999999999,0.5456730769230769,0.4613821138211382
21,google/siglip-base-patch16-224,siglip,0.0002,5,16,92885762,0.6850282485875706,0.5077262693156733,0.558252427184466,0.46558704453441296,0.672316384180791,0.4821428571428572,0.5346534653465347,0.43902439024390244
22,google/siglip-base-patch16-224,siglip,0.0002,10,8,92885762,0.6991525423728814,0.5080831408775982,0.5913978494623656,0.44534412955465585,0.684322033898305,0.48083623693379796,0.5609756097560976,0.42073170731707316
23,google/siglip-base-patch16-224,siglip,0.0002,10,16,92885762,0.7005649717514124,0.5081206496519722,0.595108695652174,0.4433198380566802,0.6857344632768362,0.4758539458186101,0.5658263305322129,0.4105691056910569
24,facebook/convnextv2-tiny-1k-224,convnext,2e-05,5,8,28635496,0.7761299435028248,0.6401816118047672,0.7286821705426356,0.5708502024291497,0.769774011299435,0.6361607142857143,0.7054455445544554,0.5792682926829268
25,facebook/convnextv2-tiny-1k-224,convnext,2e-05,5,16,28635496,0.7570621468926554,0.6000000000000001,0.7049180327868853,0.5222672064777328,0.748587570621469,0.5908045977011495,0.6798941798941799,0.5223577235772358
26,facebook/convnextv2-tiny-1k-224,convnext,2e-05,10,8,28635496,0.8149717514124294,0.7182795698924732,0.7660550458715596,0.6761133603238867,0.7916666666666666,0.681081081081081,0.7274826789838337,0.6402439024390244
